,,cluster_community,cluster_detentionCentre,cluster_education,cluster_highRisk,cluster_import,cluster_religious,cluster_workplace,rtk-ag,pcr,cases_import,cases_new,cases_recovered,Checkins number,beds_pkrc,admitted_pui_pkrc,admitted_covid_pkrc,admitted_total_pkrc,discharge_pui_pkrc,discharge_covid_pkrc,discharge_total_pkrc,pkrc_covid_pkrc,pkrc_pui_pkrc,pkrc_noncovid_pkrc,beds_hospital,beds_covid_hospital,beds_noncrit_hospital,admitted_pui_hospital,admitted_covid_hospital,admitted_total_hospital,discharged_pui_hospital,discharged_covid_hospital,discharged_total_hospital,hosp_covid_hospital,hosp_pui_hospital,hosp_noncovid_hospital
2021-07-01,Johor,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2749,3670,1,270,361,2093025,2321,0,103,103,0,152,152,964,0,0,5090,1535,4903,178,131,309,130,117,247,732,233,3051
2021-07-01,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2073,1297,0,250,186,764979,540,0,71,71,0,55,55,348,0,0,2755,661,2639,1,70,71,0,32,32,338,2,1650
2021-07-01,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103,2605,0,195,19,721212,2908,10,206,216,1,71,72,1126,33,0,2250,842,2175,9,66,75,13,35,48,395,38,956
2021-07-01,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13805,16460,2,2885,1829,4308720,5668,3,1157,1160,1,853,854,5476,10,40,6568,2499,6164,126,335,461,92,287,379,1770,336,2487
2021-07-02,Johor,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2455,4428,0,517,584,2053330,2292,0,115,115,0,89,89,984,0,0,5160,1545,4973,117,112,229,101,76,177,750,189,3036
2021-07-02,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571,1212,0,257,201,678070,540,0,61,61,0,55,55,346,0,0,2755,661,2639,1,60,61,1,31,32,356,3,1563
2021-07-02,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945,2861,0,329,68,778743,2908,3,208,211,8,38,46,1272,28,0,2250,842,2175,11,61,72,17,52,69,425,29,1006
2021-07-02,Selangor,0.0,0.0,0.0,1.0,0.0,0.0,2.0,14198,15277,1,2907,2037,5312835,5668,2,653,655,3,905,908,5224,9,40,6568,2538,6164,131,440,571,103,322,425,1886,386,2421
2021-07-03,Johor,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1810,3484,2,414,497,2031731,2292,0,164,164,0,106,106,1039,0,0,5160,1545,4973,140,111,251,88,94,182,743,185,2926
2021-07-03,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550,1386,0,145,226,708271,540,0,68,68,0,54,54,352,0,0,2755,661,2639,0,45,45,0,28,28,373,1,1575
2021-07-03,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1576,2418,0,200,77,596001,2908,4,242,246,1,34,35,1459,31,0,2250,842,2175,10,59,69,3,34,37,441,36,867
2021-07-03,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10427,17848,2,3047,2222,3245150,5668,0,634,634,1,1072,1073,4787,7,40,6568,2651,6164,158,406,564,157,306,463,2013,353,2370
2021-07-04,Johor,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2847,2467,1,500,558,1918661,2397,0,99,99,0,171,171,961,0,0,5160,1545,4973,112,59,171,61,62,123,742,220,3035
2021-07-04,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2045,1120,0,332,168,741314,540,0,59,59,0,56,56,356,0,0,2755,661,2639,0,55,55,0,28,28,385,1,1698
2021-07-04,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,2.0,830,2127,0,95,99,519071,2908,10,144,154,12,34,46,1303,295,0,2250,842,2175,6,28,34,4,27,31,454,38,868
2021-07-04,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7472,13740,0,2262,1635,2927017,5668,0,1059,1059,4,942,946,4904,3,40,6568,2704,6164,101,428,529,97,249,346,2164,348,2332
2021-07-05,Johor,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3428,3437,1,324,229,2108100,2397,0,179,179,0,125,125,988,0,0,5160,1545,4973,119,95,214,86,101,187,730,229,3043
2021-07-05,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2376,1405,0,273,170,740053,540,0,64,64,0,27,27,373,0,0,2755,661,2639,3,64,67,0,24,24,404,4,1641
2021-07-05,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1971,2277,0,312,162,724019,2908,4,122,126,0,141,141,1544,39,0,2250,842,2175,7,39,46,7,56,63,429,32,920
2021-07-05,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13111,14189,2,2610,1687,3454783,5668,1,848,849,1,931,932,4802,2,40,6568,2731,6164,104,353,457,89,267,356,2209,343,2362
2021-07-06,Johor,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2864,4235,3,313,199,2156810,2397,0,147,147,0,120,120,1008,0,0,5160,1545,4973,158,117,275,114,101,215,729,278,3069
2021-07-06,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755,1147,0,337,148,689737,540,0,58,58,0,39,39,361,0,0,2755,661,2639,3,81,84,0,22,22,438,5,1660
2021-07-06,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2106,3299,0,180,112,725535,2908,10,127,137,8,82,90,1589,41,316,2250,842,2175,9,48,57,5,31,36,444,50,880
2021-07-06,Selangor,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12120,13235,1,3260,1682,3600648,5668,1,687,688,0,965,965,4524,3,40,6568,2813,6164,125,361,486,77,273,350,2310,307,2370
2021-07-07,Johor,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2539,4197,0,224,242,2185406,2397,0,147,147,0,92,92,1056,0,0,5160,1521,4973,122,88,210,120,110,230,722,237,3047
2021-07-07,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288,2103,0,198,180,769291,540,0,96,96,0,58,58,423,0,0,2755,601,2630,1,80,81,1,26,27,468,4,1641
2021-07-07,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2137,2833,0,258,145,741770,2908,4,132,136,8,147,155,1574,36,0,2250,842,2175,36,45,81,6,38,44,428,39,898
2021-07-07,Selangor,1.0,0.0,1.0,1.0,0.0,0.0,1.0,12536,18764,5,3119,1755,3588885,5668,3,955,958,1,720,721,4760,4,40,6568,2902,6164,116,397,513,93,329,422,2353,369,2325
2021-07-08,Johor,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2551,3953,0,336,351,2170388,2502,0,142,142,0,112,112,1080,0,0,5160,1521,4973,159,132,291,122,102,224,731,255,3017
2021-07-08,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2803,2181,0,360,206,734976,540,0,32,32,0,67,67,413,0,0,2755,601,2630,4,69,73,0,48,48,434,6,1616
2021-07-08,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1478,2397,0,152,117,731367,2908,9,171,180,3,165,168,1580,42,0,2250,842,2175,19,32,51,10,44,54,429,42,1001
