Date,Interest Score
25/10/2020,36
1/11/2020,33
8/11/2020,31
15/11/2020,30
22/11/2020,28
29/11/2020,24
6/12/2020,26
13/12/2020,23
20/12/2020,27
27/12/2020,27
3/1/2021,36
10/1/2021,39
17/1/2021,33
24/1/2021,29
31/1/2021,25
7/2/2021,19
14/2/2021,18
21/2/2021,21
28/2/2021,17
7/3/2021,15
14/3/2021,15
21/3/2021,13
28/3/2021,16
4/4/2021,41
11/4/2021,21
18/4/2021,24
25/4/2021,36
2/5/2021,31
9/5/2021,100
16/5/2021,40
23/5/2021,43
30/5/2021,34
6/6/2021,28
13/6/2021,23
20/6/2021,23
27/6/2021,22
4/7/2021,25
11/7/2021,35
18/7/2021,33
25/7/2021,29
1/8/2021,29
8/8/2021,31
15/8/2021,22
22/8/2021,22
29/8/2021,20
5/9/2021,20
12/9/2021,18
19/9/2021,16
26/9/2021,15
3/10/2021,14
10/10/2021,12
17/10/2021,15
